Protein_Gene	RNA_Gene		
IGF2BP1	CKAP2		
IGF2BP1	CKAP2L		
IGF2BP1	CKAP4		
IGF2BP1	CKAP5		
IGF2BP1	CKB		
IGF2BP1	CKMT2		
IGF2BP1	CKS2		
IGF2BP1	CLASP1		
IGF2BP1	CLASP2		
IGF2BP1	CLCN3		
IGF2BP1	CLCN5		
IGF2BP1	CLDND1		
IGF2BP1	CLIC4		
IGF2BP1	CLINT1		
IGF2BP1	CLK2		
IGF2BP1	CLN6		
IGF2BP1	CLNS1A		
IGF2BP1	CLOCK		
IGF2BP1	CLPB		
IGF2BP1	CLPTM1		
IGF2BP1	CLPTM1L		
IGF2BP1	CLSPN		
IGF2BP1	CLTC		
IGF2BP1	CLUH		
IGF2BP1	CMAS		
IGF2BP1	CMSS1		
IGF2BP1	CMTM4		
IGF2BP1	CMTM7		
IGF2BP1	CNBP		
IGF2BP1	CNIH1		
IGF2BP1	CNIH4		
IGF2BP1	CNN3		
IGF2BP1	CNOT1		
IGF2BP1	CNOT11		
IGF2BP1	CNOT3		
IGF2BP1	CNOT6		
IGF2BP1	CNOT6L		
IGF2BP1	CNOT7		
IGF2BP1	CNOT8		
IGF2BP1	CNP		
IGF2BP1	CNPY3		
IGF2BP1	COA1		
IGF2BP1	COASY		
IGF2BP1	COBLL1		
IGF2BP1	COCH		
IGF2BP1	COG5		
IGF2BP1	COG8		
IGF2BP1	COL25A1		
IGF2BP1	COL27A1		
IGF2BP1	COL2A1		
IGF2BP1	COL4A1		
IGF2BP1	COL4A2		
IGF2BP1	COL6A1		
IGF2BP1	COLGALT1		
IGF2BP1	COMMD5		
IGF2BP1	COMMD6		
IGF2BP1	COMMD7		
IGF2BP1	COMT		
IGF2BP1	COPA		
IGF2BP1	COPE		
IGF2BP1	COPG1		
IGF2BP1	COPS3		
IGF2BP1	COPS4		
IGF2BP1	COPS6		
IGF2BP1	COPS7A		
IGF2BP1	COPS8		
IGF2BP1	COPZ1		
IGF2BP1	COQ9		
IGF2BP1	CORO1C		
IGF2BP1	COX10		
IGF2BP1	COX11		
IGF2BP1	COX14		
IGF2BP1	COX5A		
IGF2BP1	COX6B1		
IGF2BP1	COX7A2L		
IGF2BP1	COX7C		
IGF2BP1	CPD		
IGF2BP1	CPE		
IGF2BP1	CPNE1		
IGF2BP1	CPNE3		
IGF2BP1	CPSF2		
IGF2BP1	CPSF3		
IGF2BP1	CPSF6		
IGF2BP1	CPSF7		
IGF2BP1	CRBN		
IGF2BP1	CREB1		
IGF2BP1	CREB3L2		
IGF2BP1	CREB5		
IGF2BP1	CREBBP		
IGF2BP1	CREBL2		
IGF2BP1	CREBZF		
IGF2BP1	CREM		
IGF2BP1	CRKL		
IGF2BP1	CRLS1		
IGF2BP1	CRNDE		
IGF2BP1	CROCC		
IGF2BP1	CRY1		
IGF2BP1	CS		
IGF2BP1	CSDE1		
IGF2BP1	CSE1L		
IGF2BP1	CSNK1A1		
IGF2BP1	CSNK1E		
IGF2BP1	CSNK1G3		
IGF2BP1	CSNK2A2		
IGF2BP1	CSPG5		
IGF2BP1	CSPP1		
IGF2BP1	CSTB		
IGF2BP1	CSTF2		
IGF2BP1	CTBP1		
IGF2BP1	CTC-459F4.3		
IGF2BP1	CTC-534A2.2		
IGF2BP1	CTCF		
IGF2BP1	CTD-2116N17.1		
IGF2BP1	CTD-2132N18.3		
IGF2BP1	CTD-2323K18.1		
IGF2BP1	CTDNEP1		
IGF2BP1	CTDSP1		
IGF2BP1	CTDSP2		
IGF2BP1	CTDSPL2		
IGF2BP1	CTNNA1		
IGF2BP1	CTNNB1		
IGF2BP1	CTNND1		
IGF2BP1	CTPS1		
IGF2BP1	CTR9		
IGF2BP1	CTSC		
IGF2BP1	CTSD		
IGF2BP1	CTTN		
IGF2BP1	CUL1		
IGF2BP1	CUL2		
IGF2BP1	CUL3		
IGF2BP1	CUL4A		
IGF2BP1	CUL4B		
IGF2BP1	CUTC		
IGF2BP1	CUX1		
IGF2BP1	CWC15		
IGF2BP1	CWC22		
IGF2BP1	CXADR		
IGF2BP1	CXorf40A		
IGF2BP1	CYB5B		
IGF2BP1	CYB5D1		
IGF2BP1	CYB5R3		
IGF2BP1	CYC1		
IGF2BP1	CYCS		
IGF2BP1	CYFIP1		
IGF2BP1	CYFIP2		
IGF2BP1	DACH1		
IGF2BP1	DAG1		
IGF2BP1	DALRD3		
IGF2BP1	DANCR		
IGF2BP1	DAPK1		
IGF2BP1	DAPK3		
IGF2BP1	DARS		
IGF2BP1	DAZAP1		
IGF2BP1	DAZAP2		
IGF2BP1	DBF4		
IGF2BP1	DBF4B		
IGF2BP1	DBI		
IGF2BP1	DBNDD1		
IGF2BP1	DBNDD2		
IGF2BP1	DBNL		
IGF2BP1	DCAF11		
IGF2BP1	DCAF12		
IGF2BP1	DCAF15		
IGF2BP1	DCAF16		
IGF2BP1	DCAF5		
IGF2BP1	DCAF6		
IGF2BP1	DCAF7		
IGF2BP1	DCAF8		
IGF2BP1	DCAKD		
IGF2BP1	DCLRE1C		
IGF2BP1	DCP1A		
IGF2BP1	DCP2		
IGF2BP1	DCTD		
IGF2BP1	DCTN2		
IGF2BP1	DCTN5		
IGF2BP1	DCTPP1		
IGF2BP1	DCUN1D2		
IGF2BP1	DCUN1D4		
IGF2BP1	DCUN1D5		
IGF2BP1	DDAH1		
IGF2BP1	DDB1		
IGF2BP1	DDHD2		
IGF2BP1	DDIT3		
IGF2BP1	DDOST		
IGF2BP1	DDT		
IGF2BP1	DDX17		
IGF2BP1	DDX18		
IGF2BP1	DDX21		
IGF2BP1	DDX23		
